Institutional code,Name of Organisation,Country,City,coordinates
TR GIRESUN01,GIRESUN UNIVERSITESI,TR,Giresun,"(40.9147814, 38.322115)"
TR GUMUSHA01,GUMUSHANE UNIVERSITESI,TR,GUMUSHANE,"(40.4359825, 39.5136524)"
TR HATAY01,MUSTAFA KEMAL UNIVERSITESI,TR,Antakya / Hatay,"(36.218094, 36.1608052)"
TR IGDIR01,IGDIR UNIVERSITESI,TR,IGDIR,"(39.8163699, 44.0774752)"
TR ISPARTA01,SULEYMAN DEMIREL UNIVERSITESI,TR,Isparta,"(37.8292005, 30.5263249)"
TR ISTANBU01,BOGAZIÇI ÜNIVERSITESI,TR,Istanbul,"(41.0847571, 29.0510399)"
TR ISTANBU02,GALATASARAY UNIVERSITESI,TR,ISTANBUL,"(41.0459897, 29.0198998)"
TR ISTANBU03,ISTANBUL ÜNIVERSITESI,TR,ISTANBUL,"(41.0121803, 28.9625458)"
TR ISTANBU04,ISTANBUL TEKNIK ÜNIVERSITESI (ITU),TR,SARIYER,"(41.1055941, 29.0253401)"
TR ISTANBU05,MARMARA ÜNIVERSITESI,TR,ISTANBUL ,"(40.9870259, 29.0528132)"
TR ISTANBU06,MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,TR,FINDIKLI-ISTANBUL,"(41.0297036, 28.9883216)"
TR ISTANBU07,YILDIZ TEKNIK UNIVERSITESI,TR,ISTANBUL,"(41.0520861, 29.0106553)"
TR ISTANBU08,BAHCESEHIR UNIVERSITESI,TR,ISTANBUL,"(41.042165, 29.0092591)"
TR ISTANBU09,BEYKENT UNIVERSITESI,TR,Istanbul,"(41.1172763, 29.0039493)"
TR ISTANBU10,ISTANBUL TICARET UNIVERSITESI,TR,ISTANBUL,"(41.0582619, 28.9513126)"
TR ISTANBU11,ISTANBUL BILGI UNIVERSITY,TR,ISTANBUL,"(41.0671816, 28.9455079)"
TR ISTANBU12,T.C. DOGUS UNIVERSITESI ,TR,ISTANBUL,"(41.0002029, 29.0473255)"
TR ISTANBU13,FATIH UNIVERSITESI,TR,Istanbul,"(41.0909636, 28.6207272)"
TR ISTANBU14,Isik Universitesi,TR,Sile/Istanbul,"(41.16889949999999, 29.5639972)"
TR ISTANBU15,HALIC UNIVERSITY,TR,ISTANBUL,"(41.0561611, 28.9511224)"
